Name,ObjectID,ObjectType,Weight,IsDefective,ScanTimestamp
Row_001,OBJ_001,Box_A,1.13,True,2025-01-01T00:00:00
Row_002,OBJ_002,Box_A,3.55,False,2025-01-01T00:01:00
Row_003,OBJ_003,Irregular_C,0.89,False,2025-01-01T00:02:00
Row_004,OBJ_004,Cylinder_B,0.64,True,2025-01-01T00:03:00
Row_005,OBJ_005,Box_A,1.48,False,2025-01-01T00:04:00
Row_006,OBJ_006,Irregular_C,3.21,False,2025-01-01T00:05:00
Row_007,OBJ_007,Irregular_C,1.39,False,2025-01-01T00:06:00
Row_008,OBJ_008,Irregular_C,3.66,True,2025-01-01T00:07:00
Row_009,OBJ_009,Cylinder_B,1.49,True,2025-01-01T00:08:00
Row_010,OBJ_010,Irregular_C,1.75,False,2025-01-01T00:09:00
Row_011,OBJ_011,Box_A,3.91,False,2025-01-01T00:10:00
Row_012,OBJ_012,Box_A,3.64,False,2025-01-01T00:11:00
Row_013,OBJ_013,Cylinder_B,1.75,False,2025-01-01T00:12:00
Row_014,OBJ_014,Box_A,4.81,False,2025-01-01T00:13:00
Row_015,OBJ_015,Cylinder_B,0.96,False,2025-01-01T00:14:00
Row_016,OBJ_016,Cylinder_B,0.94,False,2025-01-01T00:15:00
Row_017,OBJ_017,Cylinder_B,3.22,False,2025-01-01T00:16:00
Row_018,OBJ_018,Box_A,3.78,False,2025-01-01T00:17:00
Row_019,OBJ_019,Irregular_C,1.06,False,2025-01-01T00:18:00
Row_020,OBJ_020,Cylinder_B,0.85,False,2025-01-01T00:19:00
